sub_id,sex,age,edu,polAffil,group_cond,ind_cond,img_order,solo,complete,RegAtmpt_Q01,RegAtmpt_Q02,RegAtmpt_Q03,EmoReg_Q01,EmoReg_Q02,EmoReg_Q03,EmoReg_Q04,EmoReg_Q05,EmoReg_Q06,EmoRegAttmpt_DO,EmoRegTechnic_DO,conf1,conf2,conf3,conf4_r,conf5,conf6,Conformity_DO,EI_sea1,EI_sea2,EI_sea3,EI_sea4,EI_oea1,EI_oea2,EI_oea3,EI_oea4,EI_uoe1,EI_uoe2,EI_uoe3,EI_uoe4,EI_roe1,EI_roe2,EI_roe3,EI_roe4,EI_DO,groupID,studyID,attention_check,exp_i,trial,txt,rate,exp_i_dup,img,img_dup,img_dup_dup,grp_method,grp_goal,subgrp
A08218322NEN84JFHLRO8,female,41,Associate’s degree or some college courses,Moderate,reapp,control,1617951336151974e15,FALSE,completed,To a very high degree,To a very low degree,Not at all,To a very high degree,To a high degree,To some degree,To some degree,To a high degree,To a low degree,NA,NA,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,NA,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Neither agree or disagree,Somewhat disagree,Disagree,Somewhat agree,NA,id-uwffo-1-3,id-uwffo-1,NA,16,11,"He looks like he is a lot of pain, sa",6,16,4,4,4,reappraisal,non_motivated,control
A08218322NEN84JFHLRO8,female,41,Associate’s degree or some college courses,Moderate,reapp,control,1617951336151974e15,FALSE,completed,To a very high degree,To a very low degree,Not at all,To a very high degree,To a high degree,To some degree,To some degree,To a high degree,To a low degree,NA,NA,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,NA,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Neither agree or disagree,Somewhat disagree,Disagree,Somewhat agree,NA,id-uwffo-1-3,id-uwffo-1,NA,16,12,angure for their life. a kidnapping,8,16,10,10,10,reappraisal,non_motivated,control
A08218322NEN84JFHLRO8,female,41,Associate’s degree or some college courses,Moderate,reapp,control,1617951336151974e15,FALSE,completed,To a very high degree,To a very low degree,Not at all,To a very high degree,To a high degree,To some degree,To some degree,To a high degree,To a low degree,NA,NA,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,NA,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Neither agree or disagree,Somewhat disagree,Disagree,Somewhat agree,NA,id-uwffo-1-3,id-uwffo-1,NA,16,13,sadness they look homeless or funny being bad,5,16,18,18,18,reappraisal,non_motivated,control
A08218322NEN84JFHLRO8,female,41,Associate’s degree or some college courses,Moderate,reapp,control,1617951336151974e15,FALSE,completed,To a very high degree,To a very low degree,Not at all,To a very high degree,To a high degree,To some degree,To some degree,To a high degree,To a low degree,NA,NA,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,NA,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Neither agree or disagree,Somewhat disagree,Disagree,Somewhat agree,NA,id-uwffo-1-3,id-uwffo-1,NA,16,14,"scarey for this persons life, i hope this is a stunt",8,16,12,12,12,reappraisal,non_motivated,control
A08218322NEN84JFHLRO8,female,41,Associate’s degree or some college courses,Moderate,reapp,control,1617951336151974e15,FALSE,completed,To a very high degree,To a very low degree,Not at all,To a very high degree,To a high degree,To some degree,To some degree,To a high degree,To a low degree,NA,NA,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,NA,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Neither agree or disagree,Somewhat disagree,Disagree,Somewhat agree,NA,id-uwffo-1-3,id-uwffo-1,NA,16,15,afraid he looks like he is on a rampage to kill,8,16,8,8,8,reappraisal,non_motivated,control
A08218322NEN84JFHLRO8,female,41,Associate’s degree or some college courses,Moderate,reapp,control,1617951336151974e15,FALSE,completed,To a very high degree,To a very low degree,Not at all,To a very high degree,To a high degree,To some degree,To some degree,To a high degree,To a low degree,NA,NA,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,NA,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Neither agree or disagree,Somewhat disagree,Disagree,Somewhat agree,NA,id-uwffo-1-3,id-uwffo-1,NA,16,16,fear and sadness for the lives of these people in,9,16,20,20,20,reappraisal,non_motivated,control
A08218322NEN84JFHLRO8,female,41,Associate’s degree or some college courses,Moderate,reapp,control,1617951336151974e15,FALSE,completed,To a very high degree,To a very low degree,Not at all,To a very high degree,To a high degree,To some degree,To some degree,To a high degree,To a low degree,NA,NA,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,NA,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Neither agree or disagree,Somewhat disagree,Disagree,Somewhat agree,NA,id-uwffo-1-3,id-uwffo-1,NA,16,17,hopeless for this person drugs are a beast,8,16,2,2,2,reappraisal,non_motivated,control
A08218322NEN84JFHLRO8,female,41,Associate’s degree or some college courses,Moderate,reapp,control,1617951336151974e15,FALSE,completed,To a very high degree,To a very low degree,Not at all,To a very high degree,To a high degree,To some degree,To some degree,To a high degree,To a low degree,NA,NA,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,NA,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Neither agree or disagree,Somewhat disagree,Disagree,Somewhat agree,NA,id-uwffo-1-3,id-uwffo-1,NA,16,18,fun watching a fight on tv ha,3,16,11,11,11,reappraisal,non_motivated,control
A08218322NEN84JFHLRO8,female,41,Associate’s degree or some college courses,Moderate,reapp,control,1617951336151974e15,FALSE,completed,To a very high degree,To a very low degree,Not at all,To a very high degree,To a high degree,To some degree,To some degree,To a high degree,To a low degree,NA,NA,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,NA,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Neither agree or disagree,Somewhat disagree,Disagree,Somewhat agree,NA,id-uwffo-1-3,id-uwffo-1,NA,16,19,happiness and sadness for a new life but they l,6,16,1,1,1,reappraisal,non_motivated,control
A08218322NEN84JFHLRO8,female,41,Associate’s degree or some college courses,Moderate,reapp,control,1617951336151974e15,FALSE,completed,To a very high degree,To a very low degree,Not at all,To a very high degree,To a high degree,To some degree,To some degree,To a high degree,To a low degree,NA,NA,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,NA,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Neither agree or disagree,Somewhat disagree,Disagree,Somewhat agree,NA,id-uwffo-1-3,id-uwffo-1,NA,16,20,fear and sadness for these peoples lives,9,16,14,14,14,reappraisal,non_motivated,control
A094612415T5EHTYKXTQ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA-NA,NA,NA,NA,1,NA,8,2,8,NA,NA,observing,non_motivated,treatment
A094612415T5EHTYKXTQ,female,56,Associate’s degree or some college courses,Extremely Conservative,reapp,reapp,8182014156925171e15,FALSE,completed,To some degree,To a high degree,To some degree,To a high degree,To a high degree,To some degree,To a very high degree,To a very high degree,To a very high degree,NA,NA,Strongly disagree,Strongly disagree,Neither agree or disagree,Strongly agree,Strongly disagree,Strongly agree,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,NA,id-fjoxq-3000-8,id-fjoxq-3000,NA,2,2,Children are always the suffers of war.,4,2,18,18,18,reappraisal,non_motivated,treatment
A094612415T5EHTYKXTQ,female,56,Associate’s degree or some college courses,Extremely Conservative,reapp,reapp,8182014156925171e15,FALSE,completed,To some degree,To a high degree,To some degree,To a high degree,To a high degree,To some degree,To a very high degree,To a very high degree,To a very high degree,NA,NA,Strongly disagree,Strongly disagree,Neither agree or disagree,Strongly agree,Strongly disagree,Strongly agree,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,NA,id-fjoxq-3000-8,id-fjoxq-3000,NA,2,3,American heroes.  They risk their lives eve,6,2,20,20,20,reappraisal,non_motivated,treatment
A094612415T5EHTYKXTQ,female,56,Associate’s degree or some college courses,Extremely Conservative,reapp,reapp,8182014156925171e15,FALSE,completed,To some degree,To a high degree,To some degree,To a high degree,To a high degree,To some degree,To a very high degree,To a very high degree,To a very high degree,NA,NA,Strongly disagree,Strongly disagree,Neither agree or disagree,Strongly agree,Strongly disagree,Strongly agree,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,NA,id-fjoxq-3000-8,id-fjoxq-3000,NA,2,4,Horrible and scary.,4,2,14,14,14,reappraisal,non_motivated,treatment
A094612415T5EHTYKXTQ,female,56,Associate’s degree or some college courses,Extremely Conservative,reapp,reapp,8182014156925171e15,FALSE,completed,To some degree,To a high degree,To some degree,To a high degree,To a high degree,To some degree,To a very high degree,To a very high degree,To a very high degree,NA,NA,Strongly disagree,Strongly disagree,Neither agree or disagree,Strongly agree,Strongly disagree,Strongly agree,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,NA,id-fjoxq-3000-8,id-fjoxq-3000,NA,2,5,This is what will kill us all.  Poisonous!,5,2,15,15,15,reappraisal,non_motivated,treatment
A094612415T5EHTYKXTQ,female,56,Associate’s degree or some college courses,Extremely Conservative,reapp,reapp,8182014156925171e15,FALSE,completed,To some degree,To a high degree,To some degree,To a high degree,To a high degree,To some degree,To a very high degree,To a very high degree,To a very high degree,NA,NA,Strongly disagree,Strongly disagree,Neither agree or disagree,Strongly agree,Strongly disagree,Strongly agree,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,NA,id-fjoxq-3000-8,id-fjoxq-3000,NA,2,6,Domestic violence is horrible and hard to escape.,7,2,6,6,6,reappraisal,non_motivated,treatment
A094612415T5EHTYKXTQ,female,56,Associate’s degree or some college courses,Extremely Conservative,reapp,reapp,8182014156925171e15,FALSE,completed,To some degree,To a high degree,To some degree,To a high degree,To a high degree,To some degree,To a very high degree,To a very high degree,To a very high degree,NA,NA,Strongly disagree,Strongly disagree,Neither agree or disagree,Strongly agree,Strongly disagree,Strongly agree,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,NA,id-fjoxq-3000-8,id-fjoxq-3000,NA,2,7,Definitely scary and unpredictable to be faced with such anger.,7,2,9,9,9,reappraisal,non_motivated,treatment
A094612415T5EHTYKXTQ,female,56,Associate’s degree or some college courses,Extremely Conservative,reapp,reapp,8182014156925171e15,FALSE,completed,To some degree,To a high degree,To some degree,To a high degree,To a high degree,To some degree,To a very high degree,To a very high degree,To a very high degree,NA,NA,Strongly disagree,Strongly disagree,Neither agree or disagree,Strongly agree,Strongly disagree,Strongly agree,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,NA,id-fjoxq-3000-8,id-fjoxq-3000,NA,2,8,Drug addiction is horrible on oneself and their families.,5,2,2,2,2,reappraisal,non_motivated,treatment
A094612415T5EHTYKXTQ,female,56,Associate’s degree or some college courses,Extremely Conservative,reapp,reapp,8182014156925171e15,FALSE,completed,To some degree,To a high degree,To some degree,To a high degree,To a high degree,To some degree,To a very high degree,To a very high degree,To a very high degree,NA,NA,Strongly disagree,Strongly disagree,Neither agree or disagree,Strongly agree,Strongly disagree,Strongly agree,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,NA,id-fjoxq-3000-8,id-fjoxq-3000,NA,2,9,Not sure what happened but her eye looks painful.,3,2,5,5,5,reappraisal,non_motivated,treatment
A094612415T5EHTYKXTQ,female,56,Associate’s degree or some college courses,Extremely Conservative,reapp,reapp,8182014156925171e15,FALSE,completed,To some degree,To a high degree,To some degree,To a high degree,To a high degree,To some degree,To a very high degree,To a very high degree,To a very high degree,NA,NA,Strongly disagree,Strongly disagree,Neither agree or disagree,Strongly agree,Strongly disagree,Strongly agree,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,NA,id-fjoxq-3000-8,id-fjoxq-3000,NA,2,10,This makes me want to chug up breakfast.  The dog licking the blood.,8,2,17,17,17,reappraisal,non_motivated,treatment
A094612415T5EHTYKXTQ,female,56,Associate’s degree or some college courses,Extremely Conservative,reapp,reapp,8182014156925171e15,FALSE,completed,To some degree,To a high degree,To some degree,To a high degree,To a high degree,To some degree,To a very high degree,To a very high degree,To a very high degree,NA,NA,Strongly disagree,Strongly disagree,Neither agree or disagree,Strongly agree,Strongly disagree,Strongly agree,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,NA,id-fjoxq-3000-8,id-fjoxq-3000,NA,2,11,Those classes paid off.,4,2,10,10,10,reappraisal,non_motivated,treatment
A094612415T5EHTYKXTQ,female,56,Associate’s degree or some college courses,Extremely Conservative,reapp,reapp,8182014156925171e15,FALSE,completed,To some degree,To a high degree,To some degree,To a high degree,To a high degree,To some degree,To a very high degree,To a very high degree,To a very high degree,NA,NA,Strongly disagree,Strongly disagree,Neither agree or disagree,Strongly agree,Strongly disagree,Strongly agree,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,NA,id-fjoxq-3000-8,id-fjoxq-3000,NA,2,12,"If we work as a team, we can clean this up in no time.",4,2,19,19,19,reappraisal,non_motivated,treatment
A094612415T5EHTYKXTQ,female,56,Associate’s degree or some college courses,Extremely Conservative,reapp,reapp,8182014156925171e15,FALSE,completed,To some degree,To a high degree,To some degree,To a high degree,To a high degree,To some degree,To a very high degree,To a very high degree,To a very high degree,NA,NA,Strongly disagree,Strongly disagree,Neither agree or disagree,Strongly agree,Strongly disagree,Strongly agree,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,NA,id-fjoxq-3000-8,id-fjoxq-3000,NA,2,13,At least my right eye is better.  The left will heal soon.,2,2,4,4,4,reappraisal,non_motivated,treatment
